order_id,date,customer_id,region,channel,category,quantity,unit_price,discount_pct,revenue,cogs,gross_profit,is_demo_data
ORD-10001,2024-01-21,CUST-135,APAC,Direct Sales,Enterprise Software,1,4017.89,5.0,4017.89,1004.47,3013.42,True
ORD-10002,2024-01-02,CUST-106,EMEA,Inside Sales,Enterprise Software,1,2030.82,0.0,2030.82,507.7,1523.12,True
ORD-10003,2024-01-19,CUST-140,EMEA,Digital Self-Service,Enterprise Software,2,4503.34,0.0,9006.68,2251.67,6755.01,True
ORD-10004,2024-01-07,CUST-124,North America,Digital Self-Service,Hardware & Peripherals,1,503.42,5.0,503.42,362.46,140.96,True
ORD-10005,2024-01-26,CUST-336,North America,Digital Self-Service,Enterprise Software,1,2945.81,10.0,2945.81,736.45,2209.36,True
ORD-10006,2024-01-20,CUST-117,North America,Partner / Reseller,Hardware & Peripherals,1,529.72,10.0,529.72,381.4,148.32,True
ORD-10007,2024-01-03,CUST-216,EMEA,Digital Self-Service,Professional Consulting,1,7198.9,0.0,7198.9,3959.39,3239.51,True
ORD-10008,2024-01-12,CUST-265,North America,Partner / Reseller,Enterprise Software,5,2214.52,5.0,11072.6,2768.15,8304.45,True
ORD-10009,2024-01-08,CUST-263,EMEA,Partner / Reseller,Enterprise Software,10,2641.93,5.0,26419.3,6604.82,19814.48,True
ORD-10010,2024-01-27,CUST-306,North America,Digital Self-Service,Professional Consulting,3,2335.63,0.0,7006.89,3853.79,3153.1,True
ORD-10011,2024-01-30,CUST-267,EMEA,Inside Sales,Hardware & Peripherals,1,1070.19,0.0,1070.19,770.54,299.65,True
ORD-10012,2024-01-05,CUST-249,North America,Inside Sales,Enterprise Software,1,3333.2,0.0,3333.2,833.3,2499.9,True
ORD-10013,2024-01-05,CUST-128,North America,Partner / Reseller,Cloud Services,1,590.91,10.0,590.91,206.82,384.09,True
ORD-10014,2024-01-14,CUST-219,EMEA,Direct Sales,Cloud Services,2,1208.01,5.0,2416.02,845.61,1570.41,True
ORD-10015,2024-01-04,CUST-264,North America,Digital Self-Service,Cloud Services,1,1527.64,5.0,1527.64,534.67,992.97,True
ORD-10016,2024-01-15,CUST-348,EMEA,Partner / Reseller,Enterprise Software,2,3943.95,5.0,7887.9,1971.97,5915.93,True
